y_lag,y,pi,Epi_lead,Rsq_Epi,version,path_number
-3.06,-2.95602233282608,-2.0244953988499317,-1.9747260849131592,0.9999869626171032,3,4
-3.05,-2.9468282776377155,-2.02058327509722,-1.9710507616989688,0.9999869626171032,3,4
-3.04,-2.93763422244935,-2.0166711513445086,-1.967375438484778,0.9999869626171032,3,4
-3.03,-2.9284401672609857,-2.0127590275917964,-1.963700115270588,0.9999869626171032,3,4
-3.02,-2.919246112072621,-2.0088469038390846,-1.9600247920563971,0.9999869626171032,3,4
-3.01,-2.9100520568842563,-2.0049347800863733,-1.9563494688422076,0.9999869626171032,3,4
-3,-2.900858001695892,-2.0010226563336615,-1.9526741456280172,0.9999869626171032,3,4
-2.99,-2.8916639465075273,-1.9971105325809504,-1.9489988224138264,0.9999869626171032,3,4
-2.98,-2.8824698913191633,-1.9931984088282384,-1.9453234991996364,0.9999869626171032,3,4
-2.97,-2.873275836130798,-1.9892862850755264,-1.9416481759854465,0.9999869626171032,3,4
-2.96,-2.8640817809424335,-1.9853741613228149,-1.9379728527712552,0.9999869626171032,3,4
-2.95,-2.854887725754068,-1.9814620375701035,-1.934297529557065,0.9999869626171032,3,4
-2.94,-2.8456936705657037,-1.977549913817392,-1.9306222063428744,0.9999869626171032,3,4
-2.93,-2.8364996153773383,-1.9736377900646804,-1.9269468831286845,0.9999869626171032,3,4
-2.92,-2.827305560188974,-1.9697256663119689,-1.923271559914494,0.9999869626171032,3,4
-2.91,-2.81811150500061,-1.9658135425592564,-1.919596236700304,0.9999869626171032,3,4
-2.9,-2.808917449812245,-1.961901418806545,-1.915920913486113,0.9999869626171032,3,4
-2.89,-2.7997233946238804,-1.9579892950538331,-1.912245590271923,0.9999869626171032,3,4
-2.88,-2.7905293394355155,-1.954077171301122,-1.9085702670577325,0.9999869626171032,3,4
-2.87,-2.7813352842471506,-1.9501650475484105,-1.9048949438435423,0.9999869626171032,3,4
-2.86,-2.7721412290587852,-1.9462529237956985,-1.901219620629352,0.9999869626171032,3,4
-2.85,-2.7629471738704217,-1.9423408000429871,-1.8975442974151615,0.9999869626171032,3,4
-2.84,-2.7537531186820567,-1.9384286762902752,-1.893868974200971,0.9999869626171032,3,4
-2.83,-2.7445590634936923,-1.9345165525375632,-1.8901936509867807,0.9999869626171032,3,4
-2.82,-2.735365008305327,-1.9306044287848525,-1.88651832777259,0.9999869626171032,3,4
-2.81,-2.7261709531169624,-1.92669230503214,-1.8828430045584008,0.9999869626171032,3,4
-2.8,-2.716976897928597,-1.9227801812794287,-1.8791676813442095,0.9999869626171032,3,4
-2.79,-2.7077828427402326,-1.9188680575267176,-1.8754923581300196,0.9999869626171032,3,4
-2.78,-2.6985887875518673,-1.9149559337740056,-1.8718170349158287,0.9999869626171032,3,4
-2.77,-2.689394732363503,-1.9110438100212936,-1.8681417117016383,0.9999869626171032,3,4
-2.76,-2.680200677175138,-1.907131686268582,-1.8644663884874484,0.9999869626171032,3,4
-2.75,-2.671006621986774,-1.9032195625158703,-1.860791065273258,0.9999869626171032,3,4
-2.74,-2.661812566798409,-1.899307438763159,-1.8571157420590676,0.9999869626171032,3,4
-2.73,-2.652618511610045,-1.8953953150104472,-1.8534404188448776,0.9999869626171032,3,4
-2.72,-2.64342445642168,-1.8914831912577357,-1.8497650956306873,0.9999869626171032,3,4
-2.71,-2.634230401233315,-1.8875710675050237,-1.8460897724164964,0.9999869626171032,3,4
-2.7,-2.6250363460449506,-1.8836589437523124,-1.8424144492023065,0.9999869626171032,3,4
-2.69,-2.6158422908565857,-1.879746819999601,-1.8387391259881152,0.9999869626171032,3,4
-2.68,-2.606656102164939,-1.8756424037084236,-1.8348680481432291,0.9999869626171032,3,4
-2.67,-2.5974964041024338,-1.8708904373697752,-1.8303377615666272,0.9999869626171032,3,4
-2.66,-2.58833670603993,-1.8661384710311273,-1.8258074749900264,0.9999869626171032,3,4
-2.65,-2.579177007977425,-1.8613865046924791,-1.821277188413425,0.9999869626171032,3,4
-2.64,-2.5700173099149213,-1.8566345383538312,-1.8167469018368232,0.9999869626171032,3,4
-2.63,-2.560857611852416,-1.8518825720151837,-1.8122166152602217,0.9999869626171032,3,4
-2.62,-2.5516979137899116,-1.847130605676536,-1.8076863286836204,0.9999869626171032,3,4
-2.61,-2.542538215727407,-1.842378639337888,-1.8031560421070187,0.9999869626171032,3,4
-2.6,-2.533378517664903,-1.83762667299924,-1.798625755530418,0.9999869626171032,3,4
-2.59,-2.524218819602398,-1.832874706660592,-1.7940954689538162,0.9999869626171032,3,4
-2.58,-2.515059121539893,-1.828122740321944,-1.7895651823772147,0.9999869626171032,3,4
-2.57,-2.505899423477389,-1.823370773983296,-1.7850348958006128,0.9999869626171032,3,4
-2.56,-2.4967397254148844,-1.8186188076446483,-1.780504609224012,0.9999869626171032,3,4
-2.55,-2.48758002735238,-1.8138668413060004,-1.7759743226474105,0.9999869626171032,3,4
-2.54,-2.478420329289875,-1.8091148749673525,-1.7714440360708097,0.9999869626171032,3,4
-2.53,-2.46926063122737,-1.8043629086287043,-1.7669137494942075,0.9999869626171032,3,4
-2.52,-2.4601009331648664,-1.7996109422900566,-1.762383462917606,0.9999869626171032,3,4
-2.51,-2.4509412351023614,-1.7948589759514086,-1.7578531763410048,0.9999869626171032,3,4
-2.5,-2.4417815370398563,-1.790107009612761,-1.753322889764404,0.9999869626171032,3,4
-2.49,-2.4326218389773526,-1.7853550432741132,-1.7487926031878027,0.9999869626171032,3,4
-2.48,-2.423462140914848,-1.7806030769354655,-1.744262316611201,0.9999869626171032,3,4
-2.47,-2.414302442852344,-1.775851110596817,-1.7397320300346,0.9999869626171032,3,4
-2.46,-2.4051427447898392,-1.7710991442581694,-1.7352017434579976,0.9999869626171032,3,4
-2.45,-2.395983046727334,-1.7663471779195217,-1.730671456881397,0.9999869626171032,3,4
-2.44,-2.3868233486648296,-1.7615952115808735,-1.726141170304795,0.9999869626171032,3,4
-2.43,-2.377663650602325,-1.756843245242226,-1.721610883728194,0.9999869626171032,3,4
-2.42,-2.36850395253982,-1.7520912789035776,-1.7170805971515923,0.9999869626171032,3,4
-2.41,-2.359344254477316,-1.7473393125649297,-1.7125503105749913,0.9999869626171032,3,4
-2.4,-2.3501845564148107,-1.7425873462262818,-1.7080200239983891,0.9999869626171032,3,4
-2.39,-2.341024858352307,-1.7378353798876338,-1.703489737421788,0.9999869626171032,3,4
-2.38,-2.331865160289802,-1.733083413548986,-1.6989594508451866,0.9999869626171032,3,4
-2.37,-2.322705462227298,-1.7283314472103388,-1.6944291642685856,0.9999869626171032,3,4
-2.36,-2.3135457641647927,-1.7235794808716904,-1.689898877691984,0.9999869626171032,3,4
-2.35,-2.304386066102289,-1.718827514533043,-1.6853685911153828,0.9999869626171032,3,4
-2.34,-2.2952263680397835,-1.7140755481943943,-1.680838304538781,0.9999869626171032,3,4
-2.33,-2.286066669977279,-1.7093235818557464,-1.6763080179621797,0.9999869626171032,3,4
-2.32,-2.2769069719147748,-1.704571615517099,-1.6717777313855784,0.9999869626171032,3,4
-2.31,-2.26774727385227,-1.6998196491784507,-1.667247444808977,0.9999869626171032,3,4
-2.3,-2.2585875757897655,-1.6950676828398028,-1.6627171582323754,0.9999869626171032,3,4
-2.29,-2.2494278777272605,-1.690315716501155,-1.6581868716557744,0.9999869626171032,3,4
-2.28,-2.2402681796647563,-1.6855637501625071,-1.6536565850791722,0.9999869626171032,3,4
-2.27,-2.2311084816022517,-1.680811783823859,-1.649126298502571,0.9999869626171032,3,4
-2.26,-2.221948783539747,-1.6760598174852115,-1.64459601192597,0.9999869626171032,3,4
-2.25,-2.212789085477243,-1.6713078511465636,-1.640065725349369,0.9999869626171032,3,4
-2.24,-2.203629387414739,-1.6665558848079156,-1.6355354387727674,0.9999869626171032,3,4
-2.23,-2.1944696893522337,-1.6618039184692677,-1.631005152196166,0.9999869626171032,3,4
-2.22,-2.1853099912897296,-1.6570519521306195,-1.6264748656195644,0.9999869626171032,3,4
-2.21,-2.176150293227225,-1.652299985791972,-1.6219445790429627,0.9999869626171032,3,4
-2.2,-2.16699059516472,-1.6475480194533243,-1.617414292466362,0.9999869626171032,3,4
-2.19,-2.1578308971022153,-1.6427960531146764,-1.61288400588976,0.9999869626171032,3,4
-2.18,-2.148671199039711,-1.6380440867760284,-1.6083537193131592,0.9999869626171032,3,4
-2.17,-2.139511500977206,-1.6332921204373805,-1.6038234327365577,0.9999869626171032,3,4
-2.16,-2.130351802914702,-1.6285401540987323,-1.5992931461599564,0.9999869626171032,3,4
-2.15,-2.121192104852197,-1.6237881877600842,-1.5947628595833545,0.9999869626171032,3,4
-2.14,-2.1120324067896927,-1.6190362214214369,-1.5902325730067532,0.9999869626171032,3,4
-2.13,-2.102872708727189,-1.6142842550827887,-1.585702286430152,0.9999869626171032,3,4
-2.12,-2.0937130106646835,-1.6095322887441408,-1.5811719998535505,0.9999869626171032,3,4
-2.11,-2.0845533126021794,-1.6047803224054928,-1.576641713276949,0.9999869626171032,3,4
-2.1,-2.0753936145396747,-1.600028356066845,-1.5721114267003478,0.9999869626171032,3,4
-2.09,-2.06623391647717,-1.595276389728197,-1.567581140123746,0.9999869626171032,3,4
-2.08,-2.057074218414665,-1.590524423389549,-1.5630508535471448,0.9999869626171032,3,4
-2.07,-2.047914520352161,-1.5857724570509013,-1.5585205669705435,0.9999869626171032,3,4
-2.06,-2.0387548222896563,-1.5810204907122534,-1.5539902803939418,0.9999869626171032,3,4
-2.05,-2.029595124227152,-1.5762685243736052,-1.5494599938173403,0.9999869626171032,3,4
-2.04,-2.020435426164647,-1.5715165580349575,-1.5449297072407393,0.9999869626171032,3,4
-2.03,-2.0112757281021425,-1.5667645916963098,-1.5403994206641376,0.9999869626171032,3,4
-2.02,-2.0021160300396383,-1.5620126253576614,-1.535869134087536,0.9999869626171032,3,4
-2.01,-1.9929563319771333,-1.557260659019014,-1.531338847510935,0.9999869626171032,3,4
-2,-1.9837966339146291,-1.552508692680366,-1.5268085609343336,0.9999869626171032,3,4
-1.99,-1.974636935852124,-1.5477567263417182,-1.522278274357732,0.9999869626171032,3,4
-1.98,-1.96547723778962,-1.5430047600030703,-1.5177479877811313,0.9999869626171032,3,4
