eps_pi,eps_y,pi,y,Epi_lead,y_lag,path_number
0,0,0.3,3.5,0,NaN,2
0,0,0.131578947,3.299760766,0,3.5,2
0,0,-0.035167464,3.08926583,0,3.299760766,2
0,0,-0.199611322,2.869468494,0,3.08926583,2
0,0,-0.361141838,2.641345922,0,2.869468494,2
0,0,-0.51916751,2.405895022,0,2.641345922,2
0,0,-0.673118169,2.164128309,0,2.405895022,2
0,0,-0.822446931,1.917069755,0,2.164128309,2
0,0,-0.96663202,1.665750651,0,1.917069755,2
0,0,-1.105178477,1.430670341,0,1.665750651,2
0,0,-1.238644204,1.216744343,0,1.430670341,2
0,0,-1.36787518,1.022447707,0,1.216744343,2
0,0,-1.493681648,0.846390009,0,1.022447707,2
0,0,-1.616843314,0.687305468,0,0.846390009,2
0,0,-1.738114302,0.544043941,0,0.687305468,2
0,0,-1.858227894,0.41556269,0,0.544043941,2
0,0,-1.977901083,0.3009189,0,0.41556269,2
0,0,-2.097838977,0.199262866,0,0.3009189,2
0,0,-2.218739074,0.109831824,0,0.199262866,2
0,0,-2.341295437,0.031944359,0,0.109831824,2
0,0,-2.466202794,-0.035004634,0,0.031944359,2
0,0,-2.594160592,-0.091548472,0,-0.035004634,2
0,0,-2.72587702,-0.138152739,0,-0.091548472,2
0,0,-2.862073034,-0.175218881,0,-0.138152739,2
0,0,-3.003486411,-0.203087392,0,-0.175218881,2
0,0,-3.150875833,-0.222040589,0,-0.203087392,2
0,0,-3.305025056,-0.23230502,0,-0.222040589,2
0,0,-3.466747163,-0.234053514,0,-0.23230502,2
0,0,-3.636888934,-0.227406886,0,-0.234053514,2
0,0,-3.816335358,-0.212435319,0,-0.227406886,2
0,0,-4.006014307,-0.189159434,0,-0.212435319,2
0,0,-4.206901406,-0.15755105,0,-0.189159434,2
0,0,-4.420025109,-0.117533658,0,-0.15755105,2
0,0,-4.646472027,-0.068982597,0,-0.117533658,2
0,0,-4.887392524,-0.011724955,0,-0.068982597,2
0,0,-5.144006606,0.054460818,0,-0.011724955,2
0,0,-5.417610155,0.129845574,0,0.054460818,2
0,0,-5.709581509,0.214750404,0,0.129845574,2
0,0,-6.021388452,0.309547868,0,0.214750404,2
0,0,-6.354595627,0.414663502,0,0.309547868,2
0,0,-6.710872423,0.530577616,0,0.414663502,2
0,0,-7.092001372,0.65782739,0,0.530577616,2
0,0,-7.499887097,0.797009275,0,0.65782739,2
0,0,-7.936565853,0.948781709,0,0.797009275,2
0,0,-8.404215725,1.113868161,0,0.948781709,2
0,0,-8.905167508,1.293060511,0,1.113868161,2
0,0,-9.441916351,1.487222795,0,1.293060511,2
0,0,-10.0171342,1.697295312,0,1.487222795,2
0,0,-10.63368312,1.924299133,0,1.697295312,2
0,0,-11.29462956,2.169341016,0,1.924299133,2
0,0,-12.00325959,2.433618764,0,2.169341016,2
0,0,-12.76309529,2.71842704,0,2.433618764,2
0,0,-13.57791226,3.025163679,0,2.71842704,2
0,0,-14.45175836,3.355336512,0,3.025163679,2
0,0,-15.38897388,3.710570756,0,3.355336512,2
0,0,-16.39421307,4.092616982,0,3.710570756,2
0,0,-17.47246728,4.503359719,0,4.092616982,2
0,0,-18.62908975,4.944826731,0,4.503359719,2
0,0,-19.8698222,5.419199003,0,4.944826731,2
0,0,-21.20082332,5.9288215,0,5.419199003,2
0,0,-22.62869936,6.476214739,0,5.9288215,2
0,0,-24.16053694,7.064087243,0,6.476214739,2
0,0,-25.80393822,7.695348925,0,7.064087243,2
0,0,-27.56705859,8.373125482,0,7.695348925,2
0,0,-29.45864723,9.100773856,0,8.373125482,2
0,0,-31.48809044,9.881898852,0,9.100773856,2
0,0,-33.6654583,10.72037098,0,9.881898852,2
0,0,-36.00155458,11.62034565,0,10.72037098,2
0,0,-38.50797038,12.58628369,0,11.62034565,2
0,0,-41.19714165,13.62297356,0,12.58628369,2
0,0,-44.08241087,14.73555496,0,13.62297356,2
0,0,-47.17809328,15.92954438,0,14.73555496,2
0,0,-50.4995479,17.21086246,0,15.92954438,2
0,0,-54.0632537,18.58586326,0,17.21086246,2
0,0,-57.88689144,20.06136584,0,18.58586326,2
0,0,-61.9894313,21.64468807,0,20.06136584,2
0,0,-66.39122705,23.34368286,0,21.64468807,2
0,0,-71.11411705,25.16677716,0,23.34368286,2
0,0,-76.18153253,27.12301374,0,25.16677716,2
0,0,-81.61861391,29.22209603,0,27.12301374,2
0,0,-87.45233549,31.47443625,0,29.22209603,2
0,0,-93.71163927,33.89120707,0,31.47443625,2
0,0,-100.4275785,36.48439701,0,33.89120707,2
0,0,-107.633472,39.26686993,0,36.48439701,2
0,0,-115.3650689,42.2524288,0,39.26686993,2
0,0,-123.6607267,45.45588421,0,42.2524288,2
0,0,-132.561601,48.89312784,0,45.45588421,2
0,0,-142.1118499,52.58121126,0,48.89312784,2
0,0,-152.3588531,56.53843055,0,52.58121126,2
0,0,-163.353447,60.78441703,0,56.53843055,2
0,0,-175.1501766,65.3402347,0,60.78441703,2
0,0,-187.8075667,70.22848468,0,65.3402347,2
0,0,-201.3884115,75.47341737,0,70.22848468,2
0,0,-215.9600867,81.10105272,0,75.47341737,2
0,0,-231.5948835,87.13930934,0,81.10105272,2
0,0,-248.3703674,93.61814302,0,87.13930934,2
0,0,-266.3697627,100.5696953,0,93.61814302,2
0,0,-285.6823657,108.0284529,0,100.5696953,2
0,0,-306.4039877,116.0314188,0,108.0284529,2
0,0,-328.6374302,124.6182961,0,116.0314188,2
0,0,-2.8,-3.5,0,NaN,3
0,0,-2.763157895,-3.332313739,0,-3.5,3
0,0,-2.733202324,-3.176539523,0,-3.332313739,3
0,0,-2.709868787,-3.03161228,0,-3.176539523,3
